Population,Median Age,Household Income,Per Capita Income,Masters holders,Median gross rent,Poverty Rate,Unemployment rate,pop_arc/eng,house_age,Population Density
9175.0,46.6,76453.0,34663.0,284.0,1025.0,8.501362397820161,2.70299727520436,63,52,1117.9480930912634
20490.0,40.8,39546.0,21491.0,414.0,620.0,16.53489507076623,2.654953635919961,110,36,118.05103445891832
10329.0,39.4,38608.0,21674.0,262.0,577.0,29.228386097395678,4.5696582437796485,111,41,45.932797324700275
27047.0,44.4,58849.0,31396.0,852.0,822.0,11.857137575331832,2.54741745849817,329,32,409.8092395339324
25030.0,38.6,35154.0,22260.0,827.0,734.0,23.016380343587688,6.787854574510588,62,52,837.5439183536892
47690.0,33.4,54468.0,29056.0,1904.0,946.0,14.348920109037536,3.334032291885092,737,33,3391.4094723367944
24943.0,31.1,57110.0,29287.0,1792.0,893.0,13.87162731026741,1.6878482941105717,165,20,328.08081339524114
825.0,43.6,45710.0,20412.0,3.0,625.0,15.151515151515152,1.5757575757575757,0,72,34.58249496981891
4022.0,46.1,79638.0,36903.0,141.0,856.0,2.759820984584784,2.3868722028841374,0,39,85.88695039398664
1753.0,55.9,36667.0,20666.0,23.0,475.0,19.338277239018826,1.88248716486024,0,32,23.28330455571789
4077.0,38.2,78929.0,36867.0,199.0,838.0,3.5074809909247,3.5810645082168264,65,30,35.11446436876648
1166.0,42.8,57750.0,22816.0,56.0,861.0,12.692967409948542,3.7735849056603774,2,35,20.969714409035323
6157.0,40.4,53236.0,28309.0,395.0,621.0,12.587299009257755,3.9629689783985698,0,63,27.216026380582335
4806.0,42.9,49890.0,25228.0,155.0,780.0,19.017894298793177,2.933832709113608,40,35,45.289206355189506
5309.0,39.9,51262.0,21938.0,133.0,768.0,14.089282350725188,4.935016010548126,44,48,87.52782128431292
5239.0,41.4,44593.0,25370.0,110.0,793.0,11.338041610994466,2.0423744989501813,10,26,114.16181822143773
2260.0,51.7,32928.0,22698.0,50.0,536.0,21.460176991150448,5.0,6,43,23.823327886997312
2267.0,41.0,63750.0,23767.0,46.0,783.0,8.86634318482576,2.514336127040141,33,30,77.28760398199918
5896.0,43.4,48145.0,21902.0,177.0,540.0,14.772727272727273,3.0529172320217097,11,64,56.478882683704846
2700.0,43.0,63646.0,29781.0,64.0,780.0,6.666666666666668,2.888888888888889,23,27,50.96647538508003
79492.0,33.9,58637.0,30158.0,6213.0,880.0,16.607960549489256,3.641875912041464,629,32,3358.7695947944394
746.0,45.8,51667.0,29126.0,32.0,789.0,6.8364611260053625,2.1447721179624666,5,41,19.39576725079299
33905.0,45.5,58917.0,32265.0,2111.0,824.0,8.099100427665537,2.6721722459814186,405,44,1985.1864863282392
41681.0,35.2,51276.0,24420.0,1696.0,1200.0,17.24526762793599,5.510904248938365,129,60,6758.715745094858
60812.0,35.9,60045.0,28718.0,4631.0,1325.0,15.293034269552065,4.318226665789648,777,78,12053.914767096136
3105.0,49.7,35405.0,24984.0,117.0,835.0,16.07085346215781,5.539452495974237,7,45,39.78728856996412
3196.0,40.8,63940.0,34788.0,130.0,912.0,9.198998748435542,3.160200250312891,14,43,1.1911949966828426
40459.0,38.5,36046.0,21460.0,1363.0,624.0,25.200820583800894,5.635334536197138,118,41,382.5331391940699
9562.0,34.4,51098.0,22085.0,328.0,888.0,10.41623091403472,3.6498640451788327,30,27,90.48240882681353
860.0,44.4,55250.0,28811.0,12.0,735.0,14.30232558139535,1.8604651162790693,5,28,5.905052252846097
28317.0,32.0,103156.0,38122.0,1919.0,1889.0,3.1359254158279484,3.6974255747430873,539,32,131.8725841754762
772.0,37.2,41250.0,20005.0,17.0,405.0,28.626943005181346,6.347150259067358,13,40,5.632035484741708
25259.0,38.1,43956.0,23887.0,690.0,844.0,12.704382596302304,3.899600142523457,162,39,1891.6348386130458
229.0,37.4,31250.0,18333.0,2.0,642.0,28.38427947598253,0.0,0,79,1557.8231292517007
49712.0,22.7,66959.0,23115.0,1988.0,1145.0,29.96057289990345,1.9532507241712265,155,39,1365.7893290840154
1145.0,53.7,69559.0,44262.0,117.0,1493.0,13.7117903930131,4.80349344978166,18,32,96.15384615384616
1044.0,45.8,53125.0,25975.0,20.0,690.0,7.854406130268201,3.5440613026819925,1,79,20.651593377247643
303.0,55.4,53750.0,67879.0,12.0,500.0,14.851485148514852,0.0,0,53,1.435882854705715
2555.0,43.6,70158.0,31442.0,158.0,866.0,7.084148727984345,4.227005870841487,19,49,76.91381438333484
18071.0,33.8,44045.0,24607.0,661.0,611.0,20.923025842510107,2.800066404736872,176,48,78.56478301320789
7010.0,35.7,39136.0,22229.0,263.0,668.0,22.69614835948645,5.577746077032812,24,77,3388.110198163364
758.0,32.5,36591.0,17109.0,3.0,689.0,30.343007915567284,3.298153034300792,3,45,568.215892053973
2135.0,30.5,50179.0,20500.0,41.0,965.0,12.740046838407496,1.9672131147540983,31,17,1579.1420118343194
9999.0,29.4,43750.0,15958.0,67.0,856.0,23.032303230323034,3.6903690369036894,11,61,3750.5626406601646
5827.0,44.2,51950.0,29271.0,208.0,706.0,14.999141925519135,3.4666209026943537,13,36,9.000451026548784
13055.0,46.2,73804.0,39100.0,1221.0,1219.0,9.858291842206052,3.4929145921103024,166,51,806.0632254877748
1431.0,35.9,51555.0,24053.0,96.0,472.0,10.062893081761006,2.86512928022362,0,26,36.34562633343493
1754.0,47.3,40833.0,20377.0,63.0,543.0,18.12998859749145,4.618015963511972,3,42,8.788587863330944
1393.0,55.1,55625.0,33803.0,58.0,522.0,6.317300789662599,2.2254127781765973,9,57,23.54193777357151
13215.0,43.8,105461.0,76601.0,2531.0,1507.0,10.147559591373438,3.601967461218313,201,79,3998.487140695915
42932.0,34.0,42353.0,22838.0,1305.0,849.0,19.16752073045747,2.969812727103326,210,49,5359.80024968789
2766.0,43.5,54740.0,25919.0,56.0,564.0,7.845263919016631,3.289949385394072,24,41,117.67208372330468
921.0,42.7,59643.0,25519.0,31.0,671.0,13.029315960912054,3.040173724212812,6,53,3.161417660688235
4707.0,31.1,43706.0,19668.0,50.0,687.0,11.727214786488213,4.270235818992989,15,36,136.5772980501393
