ZipCode,StateName,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
6516,Connecticut,153500,161500,163100,177500,175600,171500,167900,1.70E+05,169700,168200,169300,
63129,Missouri,209900,208800,209100,198600,1.99E+05,203600,204700,218100,205700,211600,206700,217900
92115,California,475900,473200,463100,472200,468700,474600,471700,496600,483600,502800,493900,529600
85204,Arizona,198700,202900,209700,214700,216500,215100,219400,220700,226200,223400,225800,225100
1960,Massachusetts,374600,387600,399900,423400,415900,406700,4.05E+05,404300,409300,408300,414400,
30066,Georgia,265500,270400,271900,263700,256500,249100,247100,2.44E+05,248700,262500,269800,
95670,California,331600,330900,318900,316800,319900,330200,320200,331300,330800,349500,332600,336300
27519,North Carolina,384700,376800,400600,393900,391100,363400,370400,392600,,,,
37129,Tennessee,239700,246400,246300,238700,237200,236800,237100,233400,234600,234100,235800,
74133,Oklahoma,180700,175400,175800,179600,186500,184700,180200,181900,176300,177300,178100,181900
94587,California,823100,851600,874400,893800,912600,932500,929300,885100,856600,849500,860400,863300
92646,California,677800,664400,659200,675400,687700,657300,676400,683800,711100,752800,781100,795600
33458,Florida,350900,3.48E+05,331800,340400,356800,364200,341200,318900,317300,332600,3.46E+05,354700
21061,Maryland,239500,242800,252300,252700,248800,232100,233100,2.35E+05,239400,239500,236500,2.37E+05
55124,Minnesota,241200,253600,249800,275800,268800,272400,257300,260600,248100,252500,252100,269500
37027,Tennessee,556700,561900,566900,551100,542100,551800,566200,548900,559800,561200,611200,586500
77346,Texas,200500,207800,2.12E+05,212700,214700,211600,210700,208900,224700,236500,242900,2.44E+05
92620,California,897800,842800,916300,906200,905400,900600,901200,880600,879400,8.38E+05,922100,899900
60608,Illinois,259600,254200,261500,286200,299400,301700,292100,289400,295200,300200,275400,270600
78254,Texas,2.02E+05,197900,199600,1.99E+05,205500,204900,209900,211900,219400,224600,237100,233900
60148,Illinois,230100,198700,202500,213900,245900,244200,236700,235600,235900,247900,238300,240200
89074,Nevada,285100,288400,296300,3.00E+05,302300,306900,2.95E+05,295900,292100,3.06E+05,310200,
96706,Hawaii,649100,628800,617600,5.99E+05,617300,615900,645900,629200,621700,635500,,
92376,California,316600,320100,329100,327300,334200,332900,337300,330100,327600,335200,338400,337700
77375,Texas,200600,197500,199900,202200,198900,198600,196200,209300,218300,231900,230200,240400
28227,North Carolina,194500,199600,1.92E+05,186700,182900,198300,1.95E+05,198400,182100,175100,187400,204600
19067,Pennsylvania,313100,3.00E+05,2.76E+05,317800,332800,365800,3.47E+05,370500,343700,340500,323600,340200
76179,Texas,203400,209200,2.06E+05,212700,213200,219500,216100,217200,216400,217500,215100,219100
78748,Texas,2.77E+05,266100,273200,278300,285500,284300,284900,286800,2.91E+05,295300,302400,294200
23322,Virginia,335600,341200,347600,330300,332600,330100,338400,331500,336300,328500,330200,327200
95014,California,2063200,2180300,2192400,2060400,2090700,2172800,2260900,2.21E+06,2039200,2127200,2177700,
43229,Ohio,139200,141600,146600,153700,1.57E+05,155600,151400,1.48E+05,153100,149700,150400,146300
33414,Florida,370800,375300,361700,361400,3.51E+05,345700,350100,351700,3.66E+05,358400,359500,
79924,Texas,103200,98100,98700,95900,100700,107100,104900,99100,98900,103300,1.13E+05,112100
78664,Texas,213700,223600,221500,225900,221900,231100,235400,233500,236200,242600,246600,243300
45013,Ohio,120700,129600,148400,145900,133100,124600,127500,140600,141400,135100,129700,
70072,Louisiana,1.32E+05,135400,139500,143300,132900,134700,1.33E+05,137600,143500,149200,155300,144300
85008,Arizona,210400,211900,203300,1.88E+05,191200,185700,205800,213100,222600,223300,210100,202900
92105,California,4.26E+05,408800,403400,385400,387700,374700,368200,379400,405300,425700,423600,414500
30101,Georgia,241500,242400,254700,243400,252600,249500,247700,234100,225800,228700,248600,
94080,California,893900,982500,1.00E+06,990300,933900,932400,1017200,1039700,1056600,1007700,976900,
33433,Florida,286300,284200,299500,290700,281400,270500,282300,280500,2.64E+05,275500,297100,
12180,New York,153500,154100,141600,145800,143900,160900,158800,170900,170200,176500,173400,
14094,New York,121700,114600,119200,1.15E+05,114700,112800,116200,118400,116700,1.22E+05,1.33E+05,138300
32825,Florida,2.34E+05,235300,225200,230400,232300,2.38E+05,236500,2.38E+05,240300,239700,242300,245100
41042,Kentucky,143500,141300,143600,144400,141800,140900,145300,1.48E+05,150100,150600,1.48E+05,145800
20910,Maryland,426500,429600,452600,437200,479800,517200,564100,521900,477300,476400,504200,499400
27265,North Carolina,167700,170100,168200,156300,158800,164300,172500,165200,162800,166300,179600,178500
75070,Texas,311600,303800,302600,303200,310500,310400,321200,318800,3.22E+05,319500,314800,314800
53704,Wisconsin,210300,210400,196600,197900,203600,218300,216900,211700,210900,214900,222600,226400
23455,Virginia,258400,269200,267600,265500,2.66E+05,272100,280900,290500,2.93E+05,285100,2.68E+05,271800
78753,Texas,231500,254500,259800,265300,246800,255900,259900,267100,257300,2.47E+05,239200,249400
83646,Idaho,274500,273400,276400,289200,297100,300800,304400,307800,312400,307600,310900,305400
98208,Washington,4.26E+05,428600,434700,445700,4.51E+05,446600,438900,444700,455700,454800,450700,450700
84404,Utah,218600,216900,214800,212600,215100,210700,210900,214400,221300,226800,230400,229600
30083,Georgia,119600,123400,129400,1.31E+05,1.30E+05,127200,124100,119500,124200,129200,136700,
33015,Florida,234900,244700,248700,240700,235200,242500,241800,240200,225200,227400,211800,226400
92648,California,891900,888200,911600,943700,9.14E+05,895800,890400,915500,931700,938400,920600,951500
95112,California,834500,872100,889700,938200,9.58E+05,942900,876400,844300,826400,837400,827300,853100
95648,California,4.29E+05,430100,4.44E+05,452800,452600,452800,452900,449300,442900,435400,443400,446300
53711,Wisconsin,275600,283600,284200,269400,268900,259500,277300,283100,286900,274700,275500,300100
94112,California,1013200,1065300,1109900,1092600,1110800,1075900,1130100,1114300,1115100,1110700,1090200,
7047,New Jersey,344400,333900,338800,351100,3.45E+05,361900,384100,407100,397300,362400,367700,362700
85383,Arizona,3.32E+05,330700,337300,340700,356200,354200,372600,375800,382100,,,
78759,Texas,400700,4.05E+05,400800,400900,407600,415900,417400,401900,398200,397300,422300,4.54E+05
33463,Florida,246500,244400,243100,244900,2.34E+05,2.31E+05,217500,2.19E+05,215100,,,
19148,Pennsylvania,193400,190300,1.97E+05,1.99E+05,207700,194700,202800,203100,214600,211400,217400,215600
92130,California,964400,936700,953400,1.04E+06,1113300,1141400,1138900,1177600,1210400,1179200,,
90640,California,536200,543900,542800,509400,476200,474300,478200,508600,5.04E+05,497700,496400,501300
32771,Florida,221800,214100,217300,208600,220800,214900,215400,199200,193700,211300,232100,247200
27407,North Carolina,145700,149500,127700,123100,124300,130200,129400,126100,131700,134800,136500,137500
94087,California,2235600,2168600,2156800,2063300,2088600,2040200,1979400,2013600,2012400,2005300,1902400,1905100
2135,Massachusetts,448100,414500,415600,415100,440300,4.52E+05,473700,472900,455900,459400,465300,
20904,Maryland,397100,4.13E+05,4.22E+05,397400,391700,381900,406700,419300,420900,416800,400100,
77373,Texas,153700,150700,155200,161300,165400,164800,162800,164500,163600,167400,1.65E+05,170800
33141,Florida,263700,271500,259300,251100,241400,240200,242800,233600,223600,220400,228900,244300
33436,Florida,277600,283300,280300,281500,274100,272100,255300,255400,260500,261100,259400,
73013,Oklahoma,205200,213900,208200,205700,210700,209700,199500,190300,197700,207300,203400,203500
75098,Texas,248500,250700,252100,249600,257400,259400,262500,265800,266400,265500,257600,261100
2151,Massachusetts,359500,407900,408500,4.18E+05,351100,358300,359900,395500,3.85E+05,386400,381900,
8873,New Jersey,289400,285200,2.91E+05,298300,314300,316400,321400,3.18E+05,3.20E+05,310700,299600,
97124,Oregon,371800,379800,370900,371300,376800,387800,394100,395900,395400,388800,374700,375900
22407,Virginia,2.62E+05,268800,268100,256200,256900,254500,261500,256400,258800,2.62E+05,264700,272800
85255,Arizona,532700,549700,539800,5.13E+05,502200,517500,541100,631500,650200,697500,666300,
92563,California,421800,422600,422200,4.24E+05,425700,432700,431800,431400,423400,420800,418300,417800
6457,Connecticut,166400,161500,1.64E+05,1.61E+05,156200,153400,162500,1.71E+05,185800,191400,189300,
19702,Delaware,194700,197600,216100,209300,207600,193800,206800,207900,211500,205400,206700,215100
98034,Washington,569900,627300,603400,6.34E+05,5.96E+05,626700,626600,624800,634300,613500,603800,604200
33021,Florida,2.41E+05,232100,246400,248100,261800,256800,232900,235300,224400,227700,226600,251600
80016,Colorado,502600,518100,511200,508100,495600,499300,507900,515900,514600,530100,532600,532900
89147,Nevada,250300,257800,263400,255900,255200,258900,259100,254800,254900,2.58E+05,263400,265700
78253,Texas,228200,234400,255300,2.55E+05,252200,243400,242700,245500,2.49E+05,259600,268300,256300
33324,Florida,223600,214300,228300,231900,248100,240100,223200,225600,227700,233900,220900,218600
92562,California,419200,414200,424100,420100,425600,420300,415400,409800,4.19E+05,425400,436700,424500
2780,Massachusetts,263300,260300,264400,254500,255400,242100,2.51E+05,265200,284500,292800,283300,
63301,Missouri,173300,176900,172100,181700,188700,188400,185800,1.84E+05,191300,199700,198500,195700
22192,Virginia,338400,345100,344400,329100,318400,323300,325200,335200,333900,328900,328400,317600
34668,Florida,104700,108700,107100,1.10E+05,112100,1.13E+05,115300,115200,118500,116600,119900,117200
76137,Texas,202600,204500,204500,213800,220200,220700,215800,205700,205900,207700,213700,216500
22201,Virginia,551600,588300,653800,571500,525400,458700,519200,5.77E+05,588700,587500,535100,541100
92117,California,647900,639800,635900,628100,639800,634400,644100,640900,648600,657100,648200,624900
85201,Arizona,163500,171800,178200,172700,159600,161500,161800,170500,173200,191700,1.89E+05,198400
11746,New York,420700,449500,439800,475500,465400,473900,4.62E+05,461900,443900,405800,,
83709,Idaho,2.45E+05,263700,266100,274900,263100,261900,264200,272400,283600,285400,2.85E+05,282800
8527,New Jersey,322400,319800,322400,3.19E+05,3.33E+05,339800,333900,336200,338600,336800,335900,328800
48038,Michigan,176700,182600,178500,171700,169100,164300,169900,170700,1.77E+05,173700,170300,181700
80219,Colorado,301600,308300,3.17E+05,316700,314700,306100,303700,303500,309300,317300,325200,326600
48066,Michigan,86300,9.00E+04,9.40E+04,93200,94300,87800,91200,92100,91100,89500,89500,98800
92128,California,610700,595700,607200,610200,605700,582500,604100,595800,628100,578600,576700,563200
7728,New Jersey,314100,325700,329900,312300,294100,308800,334500,337100,312700,301300,3.39E+05,
91801,California,597100,574500,630300,620300,638700,620700,606600,608800,564700,583600,601800,
94086,California,1.37E+06,1474500,1537800,1.64E+06,1481200,1478500,1462100,1524600,1476100,1484100,1519100,1663600
19380,Pennsylvania,379400,416500,417700,405400,365100,371400,357700,357700,352300,354200,377700,3.75E+05
91331,California,452700,458500,459500,461300,457700,447700,451300,457900,473900,479300,492400,4.87E+05
30907,Georgia,143300,153100,155300,164200,157700,159200,150100,154700,1.53E+05,155400,149100,
30144,Georgia,212200,218300,2.20E+05,212500,205800,209400,213400,2.20E+05,222200,217900,215100,
