Zipcode,Population,Median Age,Household Income,median_home_value,Per Capita Income,Masters holders,Bachelor holders,Median gross rent,Poverty Count,Poverty Rate,Unemployment,Unemployment rate,pop_arc/eng,pop_stem,pop_tech,pop_biz,commute time car,house_age
01260,545.0,42.9,101979.0,384400.0,26842.0,11.0,52.0,-666666666.0,26.0,4.770642201834862,36.0,6.605504587155964,0,0,0,0,,79
01262,1196.0,54.3,45500.0,366200.0,38899.0,142.0,180.0,958.0,164.0,13.7123745819398,30.0,2.508361204013378,0,57,47,33,,63
01264,161.0,61.4,75417.0,355600.0,45563.0,37.0,18.0,1250.0,26.0,16.149068322981368,10.0,6.211180124223603,0,7,0,2,,79
01266,1380.0,56.6,68542.0,380800.0,46857.0,181.0,240.0,1621.0,64.0,4.63768115942029,17.0,1.2318840579710144,10,27,0,28,,57
01267,7846.0,31.2,73085.0,299300.0,30864.0,880.0,1054.0,895.0,584.0,7.443283201631404,248.0,3.160846291103747,65,336,69,140,,63
01270,814.0,51.2,71250.0,279300.0,38157.0,87.0,160.0,-666666666.0,70.0,8.5995085995086,25.0,3.0712530712530715,15,45,28,25,10765.0,39
01301,17730.0,42.6,49024.0,185300.0,28633.0,1513.0,2134.0,837.0,2217.0,12.504230118443317,548.0,3.0908065425831923,196,341,101,299,,71
01330,1468.0,50.2,79118.0,276200.0,40071.0,194.0,321.0,900.0,81.0,5.517711171662126,24.0,1.6348773841961852,4,12,8,52,,66
01331,13205.0,43.9,51750.0,148500.0,25349.0,418.0,1200.0,760.0,2020.0,15.297235895494131,683.0,5.172283226050738,194,310,108,80,141115.0,72
01337,2598.0,50.6,65139.0,236700.0,33697.0,198.0,339.0,1172.0,188.0,7.236335642802156,57.0,2.1939953810623556,23,61,21,84,34780.0,46
01338,138.0,60.6,66375.0,287500.0,25680.0,22.0,11.0,-666666666.0,5.0,3.6231884057971016,16.0,11.594202898550725,0,0,0,8,,63
01339,1461.0,49.4,51346.0,228400.0,31610.0,141.0,180.0,787.0,152.0,10.403832991101986,76.0,5.201916495550993,5,37,15,14,,56
01340,1689.0,51.9,54063.0,185300.0,29598.0,119.0,180.0,1006.0,212.0,12.551805802249852,84.0,4.9733570159857905,13,29,3,27,21365.0,47
01341,1716.0,50.2,89688.0,300400.0,44806.0,277.0,334.0,1196.0,48.0,2.797202797202797,54.0,3.1468531468531467,28,67,34,32,,42
01342,1768.0,47.4,102219.0,334300.0,46922.0,373.0,375.0,1135.0,164.0,9.276018099547512,0.0,0.0,34,61,27,0,,50
01343,46.0,59.1,83125.0,287500.0,40280.0,0.0,2.0,-666666666.0,0.0,0.0,0.0,0.0,0,0,0,0,820.0,45
01344,1582.0,41.6,61563.0,199800.0,27271.0,46.0,117.0,725.0,201.0,12.705436156763591,45.0,2.8445006321112514,10,20,3,22,,59
01346,465.0,50.1,56500.0,213800.0,33586.0,34.0,56.0,967.0,49.0,10.53763440860215,3.0,0.6451612903225806,0,9,9,2,,42
01347,133.0,38.9,39211.0,103800.0,19143.0,20.0,0.0,-666666666.0,22.0,16.541353383458645,0.0,0.0,0,7,0,0,1445.0,79
01349,1106.0,42.1,60493.0,192300.0,25594.0,45.0,105.0,763.0,47.0,4.249547920433996,104.0,9.403254972875226,13,52,6,48,,72
01350,95.0,45.5,31750.0,104700.0,22175.0,2.0,11.0,900.0,6.0,6.315789473684211,1.0,1.0526315789473684,2,3,1,0,,70
01351,2312.0,46.4,81833.0,268100.0,39407.0,215.0,386.0,852.0,190.0,8.217993079584774,53.0,2.292387543252595,24,91,45,49,,36
01354,1656.0,44.4,74167.0,240600.0,33295.0,207.0,345.0,829.0,132.0,7.971014492753623,48.0,2.898550724637681,11,31,13,40,,45
01355,915.0,51.5,68681.0,254900.0,36187.0,97.0,158.0,1047.0,56.0,6.120218579234972,31.0,3.387978142076503,0,30,10,13,,43
01360,3006.0,45.7,63963.0,234500.0,33157.0,366.0,372.0,782.0,127.0,4.224883566200932,124.0,4.125083166999334,32,82,29,69,,64
